51
0, (4, 5, 10, 11)
1, (4, 5, 8, 10)
2, (4, 5, 7, 11)
3, (4, 5, 7, 8)
4, (4, 5, 6, 9)
5, (3, 5, 6, 10)
6, (3, 5, 6, 7)
7, (3, 4, 7, 10)
8, (3, 4, 6, 11)
9, (3, 4, 6, 8)
10, (2, 5, 7, 10)
11, (2, 5, 6, 11)
12, (2, 5, 6, 8)
13, (2, 4, 10, 11)
14, (2, 4, 8, 10)
15, (2, 4, 7, 11)
16, (2, 4, 7, 8)
17, (2, 4, 6, 9)
18, (2, 3, 6, 10)
19, (2, 3, 6, 7)
20, (1, 5, 10, 11)
21, (1, 5, 8, 10)
22, (1, 5, 7, 11)
23, (1, 5, 7, 8)
24, (1, 5, 6, 9)
25, (1, 4, 9, 10)
26, (1, 4, 8, 11)
27, (1, 4, 7, 9)
28, (1, 3, 7, 10)
29, (1, 3, 6, 11)
30, (1, 3, 6, 8)
31, (1, 2, 10, 11)
32, (1, 2, 8, 10)
33, (1, 2, 7, 11)
34, (1, 2, 7, 8)
35, (1, 2, 6, 9)
36, (0, 5, 9, 10)
37, (0, 5, 8, 11)
38, (0, 5, 7, 9)
39, (0, 4, 9, 11)
40, (0, 4, 8, 9)
41, (0, 3, 10, 11)
42, (0, 3, 8, 10)
43, (0, 3, 7, 11)
44, (0, 3, 7, 8)
45, (0, 3, 6, 9)
46, (0, 2, 9, 10)
47, (0, 2, 8, 11)
48, (0, 2, 7, 9)
49, (0, 1, 9, 11)
50, (0, 1, 8, 9)
